Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.875,0.0949999,0.385,0.48782433999999997,0.07332033,0.023834130000000002,0.0300212,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Gender,Man,2929.637,0.8813805259832531,0.095,0.39799743,0.4833848,0.06845725,0.02650431,0.023657719999999997,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Gender,Woman,3049.36,0.864603392187213,0.09926138599574992,0.3724433999999999,0.49215999,0.0779925,0.02126885,0.03613489,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Age,18-24,478.2759,0.8749998999999999,0.10684280767648967,0.40287248,0.4712030200000001,0.08298254000000001,0.025,0.01794196,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Age,25-34,836.9062,0.8589109508329608,0.11104164361549716,0.37752761,0.48142926,0.08599613999999998,0.0249999,0.03004709,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Age,35-49,1494.556,0.8683803082654649,0.09215138141361047,0.37168196,0.49669808,0.07128592,0.02086546,0.03946802,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Age,50-64,1554.412,0.8792553068298494,0.0888909761376006,0.42071645,0.45853943,0.06347034,0.02542067,0.03185456,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Age,65+,1614.848,0.8772503665979708,0.0996725388395688,0.36139339,0.51585734,0.07525352,0.02441905,0.02307755,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Socio-Professional Category,Total-CSP+,1734.019,0.8587979716485229,0.12459990346126543,0.37600816,0.4827900399999999,0.09180401,0.03279586,0.01660211,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Socio-Professional Category,Small Business owners,212.9949,0.8239338124997359,0.155,0.3630439,0.4605235600000001,0.10885453,0.045,0.02257801,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.8520123936348748,0.125,0.35097961999999994,0.50104474,0.09752328,0.025452460000000003,0.0249999,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Socio-Professional Category,Prof Intermed,896.9079,0.8711211039617334,0.1190462253705202,0.39229479,0.47845661000000006,0.085,0.03441582,0.00983278,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Socio-Professional Category,Total-CSP-,1674.09,0.8949999,0.06514297319737888,0.4149999,0.4821264500000001,0.04761222999999999,0.01753077,0.03773065,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Socio-Professional Category,Salaried,956.6466,0.9008574326193183,0.06147593061011245,0.42232795000000006,0.47852843,0.04019857,0.021277369999999997,0.03766719,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
Socio-Professional Category,Blue collar,717.4432,0.8921525773747664,0.0700327078157546,0.4092133,0.482939,0.05749769,0.01253501,0.03781526,"q12v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Emmanuel Macron devra faire des compromis sur son programme pour éviter des conflits graves"
